Date,Comment_ID,Parent_ID,Content,Status,Reaction_Count,Reply_Count,Permalink,Post_URL
2026-06-07 01:53:41,1444898224349187_1521048276089436,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1521048276089436,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:53:43,1444898224349187_770774626123771,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=770774626123771,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:53:46,1444898224349187_1511794550402763,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1511794550402763,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:53:49,1444898224349187_1923671372370518,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1923671372370518,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:53:52,1444898224349187_1317514953228556,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1317514953228556,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:53:55,1444898224349187_844322344990424,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=844322344990424,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:53:58,1444898224349187_4729546150606026,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=4729546150606026,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:54:02,1444898224349187_1994670534753338,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1994670534753338,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:54:05,1444898224349187_1013957437675805,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1013957437675805,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:54:08,1444898224349187_1459476472648692,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1459476472648692,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:55:00,1444898224349187_2470870403428236,1444898224349187_4464277320517150,An Nhiên Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=2470870403428236,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:55:09,1444898224349187_1025116826740962,1444898224349187_4464277320517150,An Nhiên Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1025116826740962,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:55:15,1444898224349187_1030852052734119,1444898224349187_2194179234701469,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1030852052734119,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:55:18,1444898224349187_1523308419229869,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1523308419229869,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:55:20,1444898224349187_991123883676362,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=991123883676362,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:55:22,1444898224349187_1662708138348225,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1662708138348225,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:55:25,1444898224349187_1546636376915992,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1546636376915992,https://www.facebook.com/408308732570405/posts/1444898224349187
