Date,Comment_ID,Author_ID,Author_Name,Content,Status,Reaction_Count,Reply_Count,Post_URL
2026-06-14 14:30:36,1444898224349187_1632366791159052,,,#Prudential,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-11 07:31:15,1444898224349187_1540115467529423,,,Đáp án B Số may mắn: 36 Rin Art Dương Hoàng Yến  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,1920,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-15 11:40:04,1444898224349187_1529597738869748,,,Hông Hông .#Prudential,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-15 14:51:54,1444898224349187_1477953863595521,,,.          #Prudential   gửi gắm yêu thương 🌹,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-11 07:33:37,1444898224349187_1477254444199808,,,Đáp án: B Số may mắn: 72 Triệu Võ Hoàng Bình #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,active,1,2014,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-15 16:50:36,1444898224349187_1426926782813297,,,Thanh Huyền Thành Mai Anh #Prudential nên đầu tư bảo hiểm,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-15 14:43:33,1444898224349187_1400905301949247,,,.          #Prudential   gửi gắm yêu thương 🌹,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-08 04:43:26,1444898224349187_1390737792866407,,,Đáp án B - 04 Truc Thanh Tran Trúc Trần  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-13 04:08:14,1444898224349187_1379110600783612,,,Đáp án B - 73 Huỳnh Thư Mạnh Chung Tuan Tuấn Anh #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,215,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 11:21:01,1444898224349187_1338480051586204,,,Đáp án B - 32 Cô Hai Lê Ba Bé Gấu  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-08 04:43:39,1444898224349187_1319834496880508,,,Đáp án B - 07 Ba Bé Gấu Cô Hai Lê  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-09 09:38:49,1444898224349187_1222954106472548,,,Đáp án đúng: B - 12 Thuy Nguyet Dang Nam Bui #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,2032,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-08 06:27:40,1444898224349187_1048551717497715,,,Đáp án B - 78 Hường Đt Quách Kim Ngọc  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-15 14:17:26,1444898224349187_1038044845562921,,,.          #Prudential   gửi gắm yêu thương 🌹,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-11 22:29:43,1444898224349187_1021578100257142,,,#Prudential,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-15 15:13:29,1444898224349187_1013607217847799,,,.          #Prudential   gửi gắm yêu thương 🌹,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-15 16:55:24,1444898224349187_1010592814718418,,,Trần Gia Hân . Hoa Hồng #Prudential,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-15 16:34:32,1444898224349187_1007775718298861,,,Thanh Huyền Thành Mai Anh #Prudential nên đầu tư bảo hiểm,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
