id,message,created_time,like_count,comment_count
1444898224349187_1934533461267650,Đáp án B - 69 Bình An Nhẹ Nhàng Dương Dí Dỏm  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T02:59:13+0000,0,0
1444898224349187_1924997914824185,Đáp án B - 65 Bình An Nhẹ Nhàng Dương Dí Dỏm  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T02:59:02+0000,0,0
1444898224349187_1365088988825843,Đáp án B - 83 Trần Hậu Hn Truong Vy  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T02:42:14+0000,0,0
1444898224349187_2188905321900349,Đáp án B - 89 Phan Thị Xuân Trang Trúc Trần  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T02:42:01+0000,0,0
1444898224349187_1728088295026632,Đáp án B - 87 Nguyễn Minh Vẹn Nhi Truong  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T02:41:47+0000,0,0
1444898224349187_1983916988905633,Đáp án B - 94 Trúc Trần Hường Đt  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T02:40:45+0000,0,0
1444898224349187_1055641716959271,Đáp án B - 91 Thái Thùy Dương Truong Vy  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T02:40:28+0000,0,0
1444898224349187_1532279711630733,B,2026-06-07T00:49:23+0000,0,0
1444898224349187_1278801677575919,Đáp án đúng: B - 55 Tuấn Thứ Ba Mai Thị Mến Nguyễn Như Mai Anh Jenny Yen Kim #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-06T16:08:24+0000,5,14
1444898224349187_1626760831734003,Đáp án B Số may mắn 88 Hoàng Thưởng Hoang Thi Ha Phuong #Khoẻ_Chủ_Động,2026-06-06T15:59:44+0000,1,0
1444898224349187_2003079541084672,64 Đáp án B Dinh dưỡng.  Huynh Trâm Anh Thanh Hà Nguyễn #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-06T13:05:33+0000,0,0
1444898224349187_1323089503104305,Đáp án B Số may mắn: 19  Thùy Linh Phượng Nguyễn Thị Hồng  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-06T14:44:12+0000,2,1724
1444898224349187_27114602594873667,Đáp án B Số may mắn 88 Huy Nguyễn Hi Va  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-16T07:20:07+0000,0,2
1444898224349187_4340289009577714,mia ai,2026-06-09T06:49:54+0000,0,0
1444898224349187_3273131699536229,Y,2026-06-15T16:41:12+0000,0,0
1444898224349187_2286273295539259,Nguyễn Đình Phong Nguyễn Đình Phong Xịn #Prudential,2026-06-15T16:21:58+0000,0,0
1444898224349187_2139316623530365,Đáp án B Số may mắn 49 叶公子 Thao Ngan  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-15T05:01:57+0000,0,102
1444898224349187_1907791813265931,Đáp án B Số may mắn 55 Khánh Ngọc Thao Ngan  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-16T07:28:36+0000,0,52
1444898224349187_1894488404577096,Đáp án B Số may mắn 20 Bé Cheo Tim Zin  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-16T07:39:27+0000,0,2
1444898224349187_1528963805572293,Đáp án B smm 49 Mình Lê Bảo Cương'g #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-15T16:55:50+0000,0,0
1444898224349187_1522419442797264,Đáp án đúng: B - 55 Bé Heo Thanh Thanh Trần Thị Hồng Lựu  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-12T08:16:29+0000,0,1342
1444898224349187_1038862452003395,Đáp án đúng: B - 24 Moclan Hoa Huy Nguyễn  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-15T07:52:32+0000,0,482
1444898224349187_999092252818453,Đáp án đúng: B - 57 Thị Thảo Thu Ánh Ánh Thanh Vu   #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-15T13:33:22+0000,0,9
1444898224349187_987716524246867,Đáp án B : Dinh dưỡng.  Smm: 72 Xuân DiệuKim Tuyen #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-15T15:26:11+0000,0,0
1444898224349187_2118679675367942,Đáp án đúng: B - 28 Linh Đan Tám Chỉnh #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T00:47:23+0000,0,0
1444898224349187_1009607771539980,Đáp án B : Dinh dưỡng.  Smm: 56 Kim Tuyen Lê Hường  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-06T13:17:26+0000,0,1108
1444898224349187_1337299335198293,Đáp án đúng: B Số may mắn: 76 Mark Lê Bao Long #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,2026-06-11T07:41:14+0000,0,2001
1444898224349187_1036136439088262,Đáp án: B Số may mắn: 20 Mỹ Uyên My My #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,2026-06-11T07:38:37+0000,1,2023
1444898224349187_958621177221259,lùa gà lừa gạc .,2026-06-08T10:46:13+0000,0,0
